METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID
Twin;$2.00;$4.00;$2.00;$4.00;$2.00;$4.00;$ .50;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;66666;"{""coordinates"": [-123.14105296507581, 49.28668461327324], ""type"": ""Point""}";West End;161718
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;56760;"{""coordinates"": [-123.11268202316705, 49.265968355359085], ""type"": ""Point""}";Mount Pleasant;792118
Twin;$7.00;$1.00;$7.00;$1.00;$7.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53142;"{""coordinates"": [-123.12050311379967, 49.26340003204641], ""type"": ""Point""}";Fairview;300711
Twin;$6.00;$7.00;$6.00;$7.00;$6.00;$7.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;62051;"{""coordinates"": [-123.1067329728184, 49.283306662269325], ""type"": ""Point""}";Downtown;540213
Single Motorbike;$4.00;$4.00;$4.00;$4.00;$4.00;$4.00;$4.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No;66857;"{""coordinates"": [-123.11590605128494, 49.288171634215615], ""type"": ""Point""}";Downtown;021096
Twin / Disability;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;65737;"{""coordinates"": [-123.12602231307098, 49.275030332283], ""type"": ""Point""}";Downtown;170501
Twin;$6.00;$5.00;$6.00;$5.00;$6.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63067;"{""coordinates"": [-123.10696221634178, 49.282296750787225], ""type"": ""Point""}";Downtown;540310
Twin Bay Single;$3.00;$3.00;$3.00;$3.00;$3.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;4 Hr;4 Hr;4 Hr;4 Hr;;Yes;66217;"{""coordinates"": [-123.11454993188545, 49.27982282001368], ""type"": ""Point""}";Downtown;570701
Twin;$4.00;$5.00;$4.00;$5.00;$4.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63544;"{""coordinates"": [-123.11621264161397, 49.27857065853005], ""type"": ""Point""}";Downtown;570808
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56946;"{""coordinates"": [-123.15062615711312, 49.263453471135136], ""type"": ""Point""}";Kitsilano;922505
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;66333;"{""coordinates"": [-123.11656330217565, 49.2797773957969], ""type"": ""Point""}";Downtown;580737
Twin;$3.00;$3.00;$3.00;$3.00;$3.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;60099;"{""coordinates"": [-123.11705739307568, 49.279273121176196], ""type"": ""Point""}";Downtown;580802
