index,METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,latln,level_0
4,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,60163,"{""coordinates"": [-123.1248713052417, 49.28179909035332], ""type"": ""Point""}",Downtown,"('640914', '640916')","(49.28179909035332, -123.1248713052417)",3.0
928,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51795,"{""coordinates"": [-123.11610367274322, 49.25547976308395], ""type"": ""Point""}",South Cambie,"('253313', '253315')","(49.25547976308395, -123.11610367274322)",657.0
3299,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50609,"{""coordinates"": [-123.15561958249417, 49.23600497847627], ""type"": ""Point""}",Arbutus-Ridge,"('935511', '935513')","(49.23600497847627, -123.15561958249417)",2473.0
650,Twin,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,62661,"{""coordinates"": [-123.12002690961943, 49.27424151391275], ""type"": ""Point""}",Downtown,"('321118', '321116')","(49.27424151391275, -123.12002690961943)",427.0
21,Twin,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51842,"{""coordinates"": [-123.11813446372574, 49.264127941538234], ""type"": ""Point""}",Fairview,"('B80612', 'B80610')","(49.264127941538234, -123.11813446372574)",16.0
4212,Twin,$1.00,$4.00,$1.00,$4.00,$1.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,61734,"{""coordinates"": [-123.13295852828477, 49.28996318050634], ""type"": ""Point""}",West End,"('121617', '121619')","(49.28996318050634, -123.13295852828477)",3199.0
6161,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56202,"{""coordinates"": [-123.09787187366697, 49.262904734237026], ""type"": ""Point""}",Mount Pleasant,"('310321', '310319')","(49.262904734237026, -123.09787187366697)",4657.0
3450,Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50262,"{""coordinates"": [-123.13962459642012, 49.2688708884365], ""type"": ""Point""}",Fairview,"('B31515', 'B31513')","(49.2688708884365, -123.13962459642012)",2592.0
6848,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53380,"{""coordinates"": [-123.11606700637823, 49.25627611063885], ""type"": ""Point""}",South Cambie,"('253219', '253217')","(49.25627611063885, -123.11606700637823)",5214.0
5077,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54036,"{""coordinates"": [-123.14243046951627, 49.264628474358986], ""type"": ""Point""}",Fairview,"('B81621', 'B81623')","(49.264628474358986, -123.14243046951627)",3776.0
2298,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56149,"{""coordinates"": [-123.16348818167101, 49.26408840994698], ""type"": ""Point""}",Kitsilano,"('302521', '302519')","(49.26408840994698, -123.16348818167101)",1745.0
7009,Twin,$1.00,$3.00,$1.00,$3.00,$1.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,64794,"{""coordinates"": [-123.12883307757171, 49.28729141331056], ""type"": ""Point""}",West End,"('121307', '121305')","(49.28729141331056, -123.12883307757171)",5346.0
3678,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56152,"{""coordinates"": [-123.16435514996857, 49.2641019680725], ""type"": ""Point""}",Kitsilano,"('302539', '302541')","(49.2641019680725, -123.16435514996857)",2779.0
5763,Twin,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,54565,"{""coordinates"": [-123.15861379440118, 49.2343124791978], ""type"": ""Point""}",Kerrisdale,"('955705', '955707')","(49.2343124791978, -123.15861379440118)",4333.0
6445,Twin,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,53110,"{""coordinates"": [-123.14139463307836, 49.269672187109066], ""type"": ""Point""}",Fairview,"('B21610', 'B21608')","(49.269672187109066, -123.14139463307836)",4882.0
1263,Twin,$7.00,$6.00,$7.00,$6.00,$7.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,64024,"{""coordinates"": [-123.1174172973128, 49.28699735435787], ""type"": ""Point""}",Downtown,"('640403', '640401')","(49.28699735435787, -123.1174172973128)",928.0
2096,Twin,$4.00,$7.00,$4.00,$7.00,$4.00,$7.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,64572,"{""coordinates"": [-123.12239238298514, 49.275918119433186], ""type"": ""Point""}",Downtown,"('581117', '581119')","(49.275918119433186, -123.12239238298514)",1584.0
5489,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50597,"{""coordinates"": [-123.16143348206616, 49.23435372050456], ""type"": ""Point""}",Kerrisdale,"('975705', '975707')","(49.23435372050456, -123.16143348206616)",4113.0
1050,Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54624,"{""coordinates"": [-123.11986188589734, 49.261622706160615], ""type"": ""Point""}",Fairview,"('812618', '812620')","(49.261622706160615, -123.11986188589734)",755.0
2852,Twin,$4.00,$5.00,$4.00,$5.00,$4.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,62101,"{""coordinates"": [-123.11676635940994, 49.2782035106084], ""type"": ""Point""}",Downtown,"('570828', '570826')","(49.2782035106084, -123.11676635940994)",2113.0
4340,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,61841,"{""coordinates"": [-123.12662217269903, 49.27526205819785], ""type"": ""Point""}",Downtown,"('170514', '170516')","(49.27526205819785, -123.12662217269903)",3296.0
6523,Twin,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52912,"{""coordinates"": [-123.13955202344772, 49.265412770663666], ""type"": ""Point""}",Fairview,"('B71507', 'B71509')","(49.265412770663666, -123.13955202344772)",4944.0
6748,Twin,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52938,"{""coordinates"": [-123.13969883829364, 49.26532138186897], ""type"": ""Point""}",Fairview,"('B71512', 'B71510')","(49.26532138186897, -123.13969883829364)",5132.0
2850,Twin,$5.00,$3.00,$5.00,$3.00,$5.00,$3.00,$1.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,62591,"{""coordinates"": [-123.11064752713227, 49.28225494322772], ""type"": ""Point""}",Downtown,"('570420', '570418')","(49.28225494322772, -123.11064752713227)",2112.0
4432,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,61720,"{""coordinates"": [-123.13955444336727, 49.285884738019455], ""type"": ""Point""}",West End,"('161621', '161623')","(49.285884738019455, -123.13955444336727)",3365.0
460,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,65716,"{""coordinates"": [-123.13218396915448, 49.27488753046279], ""type"": ""Point""}",Downtown,"('350806', '350804')","(49.27488753046279, -123.13218396915448)",270.0
2527,Twin,$4.00,$5.00,$4.00,$5.00,$4.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,60965,"{""coordinates"": [-123.10974322662463, 49.28454595921314], ""type"": ""Point""}",Downtown,"('180321', '180319')","(49.28454595921314, -123.10974322662463)",1935.0
3815,Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,30 min,30 min,30 min,30 min,30 min,30 min,,No,60325,"{""coordinates"": [-123.11506492151264, 49.28794339488603], ""type"": ""Point""}",Downtown,"('020936', '020938')","(49.28794339488603, -123.11506492151264)",2884.0
1507,Twin,$1.00,$2.00,$1.00,$2.00,$1.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,61611,"{""coordinates"": [-123.12164385504107, 49.278952904835606], ""type"": ""Point""}",Downtown,"('600933', '600931')","(49.278952904835606, -123.12164385504107)",1116.0
706,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,54270,"{""coordinates"": [-123.1645913441414, 49.264264382151474], ""type"": ""Point""}",Kitsilano,"('2M2420', '2M2422')","(49.264264382151474, -123.1645913441414)",474.0
566,Twin,$1.00,$2.00,$1.00,$2.00,$1.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,56625,"{""coordinates"": [-123.14551299741932, 49.266937030572834], ""type"": ""Point""}",Fairview,"('642104', '642102')","(49.266937030572834, -123.14551299741932)",362.0
1618,Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53227,"{""coordinates"": [-123.13380092630183, 49.26383722710521], ""type"": ""Point""}",Fairview,"('872413', '872415')","(49.26383722710521, -123.13380092630183)",1202.0
5628,Twin,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,60590,"{""coordinates"": [-123.11932832663186, 49.277945924775125], ""type"": ""Point""}",Downtown,"('580919', '580921')","(49.277945924775125, -123.11932832663186)",4232.0
5193,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,51663,"{""coordinates"": [-123.17214957906815, 49.263811541338605], ""type"": ""Point""}",Kitsilano,"('7M2507', '7M2505')","(49.263811541338605, -123.17214957906815)",3877.0
3336,Twin,$5.00,$6.00,$5.00,$6.00,$5.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52180,"{""coordinates"": [-123.1487751370423, 49.268154559585014], ""type"": ""Point""}",Kitsilano,"('B41913', 'B41915')","(49.268154559585014, -123.1487751370423)",2499.0
253,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,56478,"{""coordinates"": [-123.0328609963433, 49.23272502973632], ""type"": ""Point""}",Renfrew-Collingwood,"('993377', '993379')","(49.23272502973632, -123.0328609963433)",198.0
4440,Twin,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53407,"{""coordinates"": [-123.11673326779386, 49.2641048987299], ""type"": ""Point""}",Fairview,"('B80534', 'B80532')","(49.2641048987299, -123.11673326779386)",3373.0
1133,Twin,$3.00,$2.00,$3.00,$2.00,$3.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,61096,"{""coordinates"": [-123.13208999203547, 49.27464135863163], ""type"": ""Point""}",Downtown,"('621503', '621501')","(49.27464135863163, -123.13208999203547)",827.0
5382,Twin,$5.00,$6.00,$5.00,$6.00,$5.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52040,"{""coordinates"": [-123.14827304420362, 49.26814646165971], ""type"": ""Point""}",Kitsilano,"('B41903', 'B41901')","(49.26814646165971, -123.14827304420362)",4018.0
27,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50746,"{""coordinates"": [-123.11475836714581, 49.25579535514062], ""type"": ""Point""}",Riley Park,"('D70438', 'D70440')","(49.25579535514062, -123.11475836714581)",22.0
1098,Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51986,"{""coordinates"": [-123.13904755695339, 49.264573946289055], ""type"": ""Point""}",Fairview,"('B81505', 'B81507')","(49.264573946289055, -123.13904755695339)",797.0
1433,Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,61838,"{""coordinates"": [-123.12470300389047, 49.28870000001848], ""type"": ""Point""}",Downtown,"('081226', '081228')","(49.28870000001848, -123.12470300389047)",1057.0
1809,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51778,"{""coordinates"": [-123.11592132204544, 49.254803514664125], ""type"": ""Point""}",South Cambie,"('253404', '253406')","(49.254803514664125, -123.11592132204544)",1352.0
971,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65580,"{""coordinates"": [-123.12700474342044, 49.290106846871275], ""type"": ""Point""}",Downtown,"('061401', '061403')","(49.290106846871275, -123.12700474342044)",687.0
5499,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,67628,"{""coordinates"": [-123.13968733121817, 49.28596747696701], ""type"": ""Point""}",West End,"('161625', '161627')","(49.28596747696701, -123.13968733121817)",4123.0
4474,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52245,"{""coordinates"": [-123.14114725638267, 49.26617452576444], ""type"": ""Point""}",Fairview,"('B61604', 'B61602')","(49.26617452576444, -123.14114725638267)",3402.0
87,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52057,"{""coordinates"": [-123.06960428519254, 49.27596472865283], ""type"": ""Point""}",Grandview-Woodland,"('6C0919', '6C0917')","(49.27596472865283, -123.06960428519254)",76.0
4177,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,65874,"{""coordinates"": [-123.12581880204078, 49.27262948574552], ""type"": ""Point""}",Downtown,"('581410', '581408')","(49.27262948574552, -123.12581880204078)",3168.0
1037,Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52526,"{""coordinates"": [-123.14466476131365, 49.264553916743814], ""type"": ""Point""}",Fairview,"('B81720', 'B81718')","(49.264553916743814, -123.14466476131365)",744.0
786,Twin,$2.00,$4.00,$2.00,$4.00,$2.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,60840,"{""coordinates"": [-123.1182617363584, 49.27720953311749], ""type"": ""Point""}",Downtown,"('290917', '290915')","(49.27720953311749, -123.1182617363584)",541.0
3442,Twin,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,60256,"{""coordinates"": [-123.09982326589238, 49.28058440289662], ""type"": ""Point""}",Downtown,"('510417', '510419')","(49.28058440289662, -123.09982326589238)",2585.0
2984,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53487,"{""coordinates"": [-123.10217815477942, 49.270220797219736], ""type"": ""Point""}",Mount Pleasant,"('A10101', 'A10103')","(49.270220797219736, -123.10217815477942)",2217.0
3430,Twin,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,50319,"{""coordinates"": [-123.14156660704192, 49.269674854995536], ""type"": ""Point""}",Fairview,"('B21614', 'B21612')","(49.269674854995536, -123.14156660704192)",2575.0
1695,Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,61098,"{""coordinates"": [-123.12079942502531, 49.288769397593185], ""type"": ""Point""}",Downtown,"('041130', '041132')","(49.288769397593185, -123.12079942502531)",1268.0
10,Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,54281,"{""coordinates"": [-123.1585008811758, 49.268306446343416], ""type"": ""Point""}",Kitsilano,"('B42317', 'B42319')","(49.268306446343416, -123.1585008811758)",7.0
7578,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,61922,"{""coordinates"": [-123.12693992567233, 49.289355183066654], ""type"": ""Point""}",Downtown,"('081326', '081328')","(49.289355183066654, -123.12693992567233)",5797.0
926,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51779,"{""coordinates"": [-123.11592694866142, 49.256437418571736], ""type"": ""Point""}",South Cambie,"('253212', '253214')","(49.256437418571736, -123.11592694866142)",655.0
2359,Twin,$5.00,$3.00,$5.00,$3.00,$5.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,64015,"{""coordinates"": [-123.1202513765118, 49.27280921911599], ""type"": ""Point""}",Downtown,"('341203', '341201')","(49.27280921911599, -123.1202513765118)",1799.0
695,Twin,$6.00,$4.00,$6.00,$4.00,$6.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,53081,"{""coordinates"": [-123.15029567790205, 49.26776930617867], ""type"": ""Point""}",Kitsilano,"('922006', '922008')","(49.26776930617867, -123.15029567790205)",466.0
2914,Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,62014,"{""coordinates"": [-123.12640539853005, 49.27454196078891], ""type"": ""Point""}",Downtown,"('591309', '591307')","(49.27454196078891, -123.12640539853005)",2162.0
6007,Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,61050,"{""coordinates"": [-123.1137767943848, 49.279077235666456], ""type"": ""Point""}",Downtown,"('560709', '560711')","(49.279077235666456, -123.1137767943848)",4530.0
2352,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,60421,"{""coordinates"": [-123.12122865986042, 49.27818184230235], ""type"": ""Point""}",Downtown,"('140503', '140501')","(49.27818184230235, -123.12122865986042)",1793.0
1235,Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54170,"{""coordinates"": [-123.11633821857892, 49.263135514981656], ""type"": ""Point""}",Fairview,"('300528', '300526')","(49.263135514981656, -123.11633821857892)",908.0
4480,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54802,"{""coordinates"": [-123.17259156741945, 49.26406391718795], ""type"": ""Point""}",Kitsilano,"('303010', '303008')","(49.26406391718795, -123.17259156741945)",3408.0
6912,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,60313,"{""coordinates"": [-123.11856031479327, 49.275347196507894], ""type"": ""Point""}",Downtown,"('561012', '561010')","(49.275347196507894, -123.11856031479327)",5267.0
6069,Twin,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65314,"{""coordinates"": [-123.12321214856017, 49.27947138961326], ""type"": ""Point""}",Downtown,"('140701', '140703')","(49.27947138961326, -123.12321214856017)",4581.0
1422,Twin,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56547,"{""coordinates"": [-123.14687667135603, 49.27164350931265], ""type"": ""Point""}",Kitsilano,"('981807', '981809')","(49.27164350931265, -123.14687667135603)",1048.0
710,Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65585,"{""coordinates"": [-123.12539573261633, 49.275210440997334], ""type"": ""Point""}",Downtown,"('591233', '591231')","(49.275210440997334, -123.12539573261633)",478.0
1426,Twin,$5.00,$2.00,$5.00,$2.00,$5.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65774,"{""coordinates"": [-123.1240128099765, 49.28805802903027], ""type"": ""Point""}",Downtown,"('660511', '660509')","(49.28805802903027, -123.1240128099765)",1050.0
3286,Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,64538,"{""coordinates"": [-123.12296775591953, 49.27347509873914], ""type"": ""Point""}",Downtown,"('321236', '321238')","(49.27347509873914, -123.12296775591953)",2461.0
3044,Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53737,"{""coordinates"": [-123.16104021999055, 49.23472992020598], ""type"": ""Point""}",Arbutus-Ridge,"('K12323', 'K12321')","(49.23472992020598, -123.16104021999055)",2270.0
5240,Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,51889,"{""coordinates"": [-123.14461261492049, 49.26808665936738], ""type"": ""Point""}",Fairview,"('B41727', 'B41725')","(49.26808665936738, -123.14461261492049)",3914.0
5238,Twin,$3.00,$2.00,$3.00,$2.00,$3.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65639,"{""coordinates"": [-123.12536309163484, 49.279087590346975], ""type"": ""Point""}",Downtown,"('621031', '621033')","(49.279087590346975, -123.12536309163484)",3912.0
