index,METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,latln,level_0
701,Single,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52171,"{""coordinates"": [-123.06954127856447, 49.267280781113726], ""type"": ""Point""}",Grandview-Woodland,6C1912,"(49.267280781113726, -123.06954127856447)",
702,Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51281,"{""coordinates"": [-123.1153594239517, 49.26503647271914], ""type"": ""Point""}",Fairview,B70505,"(49.26503647271914, -123.1153594239517)",
718,Single,$2.00,$6.00,$2.00,$6.00,$2.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51715,"{""coordinates"": [-123.15507562763803, 49.272183023367084], ""type"": ""Point""}",Kitsilano,951509,"(49.272183023367084, -123.15507562763803)",
727,Single,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,63202,"{""coordinates"": [-123.12410729342953, 49.28005236592258], ""type"": ""Point""}",Downtown,140801,"(49.28005236592258, -123.12410729342953)",
737,Single,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51327,"{""coordinates"": [-123.12582015924319, 49.26424935867055], ""type"": ""Point""}",Fairview,B80940,"(49.26424935867055, -123.12582015924319)",
769,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,61609,"{""coordinates"": [-123.13914753984513, 49.285609976425], ""type"": ""Point""}",West End,161611,"(49.285609976425, -123.13914753984513)",
822,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54289,"{""coordinates"": [-123.17372568487227, 49.26424694311975], ""type"": ""Point""}",Kitsilano,303033,"(49.26424694311975, -123.17372568487227)",
878,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51640,"{""coordinates"": [-123.20881542546213, 49.26390245570254], ""type"": ""Point""}",West Point Grey,D04457,"(49.26390245570254, -123.20881542546213)",
892,Single,$7.00,$6.00,$7.00,$6.00,$7.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,54487,"{""coordinates"": [-123.11388142143505, 49.26387753050899], ""type"": ""Point""}",Mount Pleasant,B80416,"(49.26387753050899, -123.11388142143505)",
917,Single,$7.00,$6.00,$7.00,$6.00,$7.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54299,"{""coordinates"": [-123.11278532319547, 49.26369064184101], ""type"": ""Point""}",Mount Pleasant,792402,"(49.26369064184101, -123.11278532319547)",
922,Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56174,"{""coordinates"": [-123.13889371243681, 49.26446205106124], ""type"": ""Point""}",Fairview,B81502,"(49.26446205106124, -123.13889371243681)",
923,Single,$5.00,$2.00,$5.00,$2.00,$5.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,54260,"{""coordinates"": [-123.15504395981026, 49.26839471119889], ""type"": ""Point""}",Kitsilano,951914,"(49.26839471119889, -123.15504395981026)",
929,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,62941,"{""coordinates"": [-123.12811378809384, 49.28822880802131], ""type"": ""Point""}",West End,201315,"(49.28822880802131, -123.12811378809384)",
934,Single,$2.00,$6.00,$2.00,$6.00,$2.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51639,"{""coordinates"": [-123.15508940874096, 49.27179923385216], ""type"": ""Point""}",Kitsilano,951519,"(49.27179923385216, -123.15508940874096)",
953,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53680,"{""coordinates"": [-123.16628506882007, 49.26412324187021], ""type"": ""Point""}",Kitsilano,302629,"(49.26412324187021, -123.16628506882007)",
